theta,phi,B
0.000000000000000000e+00,4.914223145280123273e-01,8.994793105956416568e+00
0.000000000000000000e+00,5.089731114754413310e-01,8.909022649353071088e+00
0.000000000000000000e+00,5.265239084228703348e-01,8.819762347054686202e+00
0.000000000000000000e+00,5.440747053702993385e-01,8.727346049774125092e+00
0.000000000000000000e+00,5.616255023177283423e-01,8.632136327137747145e+00
0.000000000000000000e+00,5.791762992651573461e-01,8.534523152386285005e+00
0.000000000000000000e+00,5.967270962125863498e-01,8.434922297299671357e+00
0.000000000000000000e+00,6.142778931600153536e-01,8.333773288984097860e+00
0.000000000000000000e+00,6.318286901074443573e-01,8.231536802142494835e+00
0.000000000000000000e+00,6.493794870548733611e-01,8.128691394113525703e+00
0.000000000000000000e+00,6.669302840023023649e-01,8.025729532534477073e+00
0.000000000000000000e+00,6.844810809497313686e-01,7.923152913615406412e+00
0.000000000000000000e+00,7.020318778971603724e-01,7.821467119057357031e+00
0.000000000000000000e+00,7.195826748445894872e-01,7.721175707927967480e+00
0.000000000000000000e+00,7.371334717920184909e-01,7.622773882886565211e+00
0.000000000000000000e+00,7.546842687394474947e-01,7.526741905071802741e+00
0.000000000000000000e+00,7.722350656868764984e-01,7.433538456452541965e+00
0.000000000000000000e+00,7.897858626343055022e-01,7.343594161038971002e+00
0.000000000000000000e+00,8.073366595817345059e-01,7.257305476491716867e+00
0.000000000000000000e+00,8.248874565291635097e-01,7.175029155684521598e+00
0.000000000000000000e+00,8.424382534765925135e-01,7.097077454837760868e+00
0.000000000000000000e+00,8.599890504240215172e-01,7.023714232825033044e+00
0.000000000000000000e+00,8.775398473714505210e-01,6.955152047583423425e+00
0.000000000000000000e+00,8.950906443188795247e-01,6.891550312986820970e+00
0.000000000000000000e+00,9.126414412663085285e-01,6.833014535944080592e+00
0.000000000000000000e+00,9.301922382137375322e-01,6.779596611628990743e+00
0.000000000000000000e+00,9.477430351611665360e-01,6.731296117101887688e+00
0.000000000000000000e+00,9.652938321085955398e-01,6.688062512134527182e+00
0.000000000000000000e+00,9.828446290560246545e-01,6.649798132196404588e+00
0.000000000000000000e+00,1.000395426003453547e+00,6.616361843032545487e+00
0.000000000000000000e+00,1.017946222950882662e+00,6.587573219110869793e+00
0.000000000000000000e+00,1.035497019898311555e+00,6.563217108856855830e+00
0.000000000000000000e+00,1.053047816845740670e+00,6.543048456893792775e+00
0.000000000000000000e+00,1.070598613793169562e+00,6.526797265925924130e+00
0.000000000000000000e+00,1.088149410740598677e+00,6.514173596642432784e+00
0.000000000000000000e+00,1.105700207688027570e+00,6.504872521206460867e+00
0.000000000000000000e+00,1.123251004635456685e+00,6.498578962740008791e+00
0.000000000000000000e+00,1.140801801582885799e+00,6.494972368183476341e+00
0.000000000000000000e+00,1.158352598530314692e+00,6.493731173832880010e+00
0.000000000000000000e+00,1.175903395477743807e+00,6.494537031032843188e+00
0.000000000000000000e+00,1.193454192425172700e+00,6.497078763727962780e+00
0.000000000000000000e+00,1.211004989372601814e+00,6.501056030145426767e+00
0.000000000000000000e+00,1.228555786320030707e+00,6.506182658541258768e+00
0.000000000000000000e+00,1.246106583267459822e+00,6.512189622790647725e+00
0.000000000000000000e+00,1.263657380214888715e+00,6.518827618970587601e+00
0.000000000000000000e+00,1.281208177162317829e+00,6.525869200392425462e+00
0.000000000000000000e+00,1.298758974109746722e+00,6.533110427153429711e+00
0.000000000000000000e+00,1.316309771057175837e+00,6.540371988347532195e+00
0.000000000000000000e+00,1.333860568004604730e+00,6.547499761434622201e+00
0.000000000000000000e+00,1.351411364952033844e+00,6.554364784322825876e+00
0.000000000000000000e+00,1.368962161899462737e+00,6.560862631397403000e+00
0.000000000000000000e+00,1.386512958846891852e+00,6.566912204473392300e+00
0.000000000000000000e+00,1.404063755794320745e+00,6.572453972437846126e+00
0.000000000000000000e+00,1.421614552741749860e+00,6.577447717780660064e+00
0.000000000000000000e+00,1.439165349689178974e+00,6.581869872614247718e+00
0.000000000000000000e+00,1.456716146636607867e+00,6.585710549340268116e+00
0.000000000000000000e+00,1.474266943584036982e+00,6.588970390035221669e+00
0.000000000000000000e+00,1.491817740531465875e+00,6.591657372264366543e+00
0.000000000000000000e+00,1.509368537478894989e+00,6.593783716068078782e+00
0.000000000000000000e+00,1.526919334426323882e+00,6.595363036398457446e+00
0.000000000000000000e+00,1.544470131373752997e+00,6.596407876929093028e+00
0.000000000000000000e+00,1.562020928321181890e+00,6.596927745086841988e+00
0.000000000000000000e+00,1.579571725268611004e+00,6.596927745086841988e+00
0.000000000000000000e+00,1.597122522216039897e+00,6.596407876929093028e+00
0.000000000000000000e+00,1.614673319163469012e+00,6.595363036398457446e+00
0.000000000000000000e+00,1.632224116110897905e+00,6.593783716068078782e+00
0.000000000000000000e+00,1.649774913058327019e+00,6.591657372264366543e+00
0.000000000000000000e+00,1.667325710005755912e+00,6.588970390035221669e+00
0.000000000000000000e+00,1.684876506953185027e+00,6.585710549340269004e+00
0.000000000000000000e+00,1.702427303900614142e+00,6.581869872614247718e+00
0.000000000000000000e+00,1.719978100848043034e+00,6.577447717780660064e+00
0.000000000000000000e+00,1.737528897795472149e+00,6.572453972437846126e+00
0.000000000000000000e+00,1.755079694742901042e+00,6.566912204473391412e+00
0.000000000000000000e+00,1.772630491690330157e+00,6.560862631397403000e+00
0.000000000000000000e+00,1.790181288637759049e+00,6.554364784322827653e+00
0.000000000000000000e+00,1.807732085585188164e+00,6.547499761434622201e+00
0.000000000000000000e+00,1.825282882532617057e+00,6.540371988347532195e+00
0.000000000000000000e+00,1.842833679480046172e+00,6.533110427153429711e+00
0.000000000000000000e+00,1.860384476427475064e+00,6.525869200392424574e+00
0.000000000000000000e+00,1.877935273374904179e+00,6.518827618970587601e+00
0.000000000000000000e+00,1.895486070322333072e+00,6.512189622790647725e+00
0.000000000000000000e+00,1.913036867269762187e+00,6.506182658541257879e+00
0.000000000000000000e+00,1.930587664217191080e+00,6.501056030145424991e+00
0.000000000000000000e+00,1.948138461164620194e+00,6.497078763727962780e+00
0.000000000000000000e+00,1.965689258112049309e+00,6.494537031032843188e+00
0.000000000000000000e+00,1.983240055059478202e+00,6.493731173832879122e+00
0.000000000000000000e+00,2.000790852006907095e+00,6.494972368183476341e+00
0.000000000000000000e+00,2.018341648954336431e+00,6.498578962740008791e+00
0.000000000000000000e+00,2.035892445901765324e+00,6.504872521206460867e+00
0.000000000000000000e+00,2.053443242849194217e+00,6.514173596642432784e+00
0.000000000000000000e+00,2.070994039796623110e+00,6.526797265925925018e+00
0.000000000000000000e+00,2.088544836744052446e+00,6.543048456893791887e+00
0.000000000000000000e+00,2.106095633691481339e+00,6.563217108856856719e+00
