theta,phi,B
0.000000000000000000e+00,6.037474149915579291e-01,2.740560819583259811e+00
0.000000000000000000e+00,6.107677337705296194e-01,2.743817050821762304e+00
0.000000000000000000e+00,6.177880525495011987e-01,2.746148273025742714e+00
0.000000000000000000e+00,6.248083713284727780e-01,2.747364061533632551e+00
0.000000000000000000e+00,6.318286901074443573e-01,2.747364061533632551e+00
0.000000000000000000e+00,6.388490088864160477e-01,2.746148273025742714e+00
0.000000000000000000e+00,6.458693276653876270e-01,2.743817050821762304e+00
0.000000000000000000e+00,6.528896464443592063e-01,2.740560819583259811e+00
0.000000000000000000e+00,6.599099652233307856e-01,2.736640722551275218e+00
0.000000000000000000e+00,6.669302840023024759e-01,2.732362480343212052e+00
0.000000000000000000e+00,6.739506027812740552e-01,2.728046494994347260e+00
0.000000000000000000e+00,6.809709215602456345e-01,2.723997598772837314e+00
0.000000000000000000e+00,6.879912403392172138e-01,2.720477777301024691e+00
0.000000000000000000e+00,6.950115591181887931e-01,2.717684712815120918e+00
0.000000000000000000e+00,7.020318778971604834e-01,2.715738173145658685e+00
0.000000000000000000e+00,7.090521966761320627e-01,2.714675236601073571e+00
0.000000000000000000e+00,7.160725154551036420e-01,2.714454239466142393e+00
0.000000000000000000e+00,7.230928342340752213e-01,2.714966312076452226e+00
0.000000000000000000e+00,7.301131530130469116e-01,2.716052563898606387e+00
0.000000000000000000e+00,7.371334717920184909e-01,2.717524483249049272e+00
0.000000000000000000e+00,7.441537905709900702e-01,2.719184979154718462e+00
0.000000000000000000e+00,7.511741093499616495e-01,2.720847703045666588e+00
0.000000000000000000e+00,7.581944281289332288e-01,2.722352787588826928e+00
0.000000000000000000e+00,7.652147469079049191e-01,2.723577831023648255e+00
0.000000000000000000e+00,7.722350656868764984e-01,2.724443717852347291e+00
0.000000000000000000e+00,7.792553844658480777e-01,2.724915578668454685e+00
0.000000000000000000e+00,7.862757032448196570e-01,2.724999748862508842e+00
0.000000000000000000e+00,7.932960220237913473e-01,2.724737917158245537e+00
0.000000000000000000e+00,8.003163408027629266e-01,2.724199733292812731e+00
0.000000000000000000e+00,8.073366595817345059e-01,2.723474988617521575e+00
0.000000000000000000e+00,8.143569783607060852e-01,2.722666153556423829e+00
0.000000000000000000e+00,8.213772971396777756e-01,2.721881639693481958e+00
0.000000000000000000e+00,8.283976159186493549e-01,2.721229751173185107e+00
0.000000000000000000e+00,8.354179346976209342e-01,2.720812992219191706e+00
0.000000000000000000e+00,8.424382534765925135e-01,2.720722272461415958e+00
0.000000000000000000e+00,8.494585722555640928e-01,2.721030629546056012e+00
0.000000000000000000e+00,8.564788910345357831e-01,2.721786355700275273e+00
0.000000000000000000e+00,8.634992098135073624e-01,2.723005816075283025e+00
0.000000000000000000e+00,8.705195285924789417e-01,2.724666693702026077e+00
0.000000000000000000e+00,8.775398473714505210e-01,2.726702783607850566e+00
0.000000000000000000e+00,8.845601661504222113e-01,2.729001684146451723e+00
0.000000000000000000e+00,8.915804849293937906e-01,2.731406716014062930e+00
0.000000000000000000e+00,8.986008037083653699e-01,2.733724096834449391e+00
0.000000000000000000e+00,9.056211224873369492e-01,2.735735819604031782e+00
0.000000000000000000e+00,9.126414412663085285e-01,2.737217887571187003e+00
0.000000000000000000e+00,9.196617600452802188e-01,2.737962654000487994e+00
0.000000000000000000e+00,9.266820788242517981e-01,2.737803142866878314e+00
0.000000000000000000e+00,9.337023976032233774e-01,2.736636537455441331e+00
0.000000000000000000e+00,9.407227163821949567e-01,2.734443656896813124e+00
0.000000000000000000e+00,9.477430351611666470e-01,2.731301297829874741e+00
0.000000000000000000e+00,9.547633539401382263e-01,2.727384845070458752e+00
0.000000000000000000e+00,9.617836727191098056e-01,2.722959528073301883e+00
0.000000000000000000e+00,9.688039914980813849e-01,2.718360024870273506e+00
0.000000000000000000e+00,9.758243102770529642e-01,2.713959635545119209e+00
0.000000000000000000e+00,9.828446290560246545e-01,2.710131763186328868e+00
0.000000000000000000e+00,9.898649478349962338e-01,2.707207734839303104e+00
0.000000000000000000e+00,9.968852666139678131e-01,2.705435865497198833e+00
0.000000000000000000e+00,1.003905585392939503e+00,2.704946956627138466e+00
0.000000000000000000e+00,1.010925904171910972e+00,2.705731039857265596e+00
0.000000000000000000e+00,1.017946222950882662e+00,2.707629126877289849e+00
0.000000000000000000e+00,1.024966541729854352e+00,2.710342102263979314e+00
0.000000000000000000e+00,1.031986860508825821e+00,2.713456876383855132e+00
0.000000000000000000e+00,1.039007179287797511e+00,2.716487745635641993e+00
0.000000000000000000e+00,1.046027498066768979e+00,2.718928866769239061e+00
0.000000000000000000e+00,1.053047816845740670e+00,2.720312118489454978e+00
0.000000000000000000e+00,1.060068135624712360e+00,2.720263634333733638e+00
0.000000000000000000e+00,1.067088454403683828e+00,2.718552108580903237e+00
0.000000000000000000e+00,1.074108773182655518e+00,2.715122664314121081e+00
0.000000000000000000e+00,1.081129091961626987e+00,2.710111579595374742e+00
0.000000000000000000e+00,1.088149410740598677e+00,2.703839333405305023e+00
0.000000000000000000e+00,1.095169729519570367e+00,2.696782003874424127e+00
0.000000000000000000e+00,1.102190048298541836e+00,2.689523711212216117e+00
0.000000000000000000e+00,1.109210367077513526e+00,2.682695208002375598e+00
0.000000000000000000e+00,1.116230685856485216e+00,2.676905563332279137e+00
0.000000000000000000e+00,1.123251004635456685e+00,2.672674912083648824e+00
0.000000000000000000e+00,1.130271323414428375e+00,2.670376293613739627e+00
0.000000000000000000e+00,1.137291642193399843e+00,2.670193654162142494e+00
0.000000000000000000e+00,1.144311960972371534e+00,2.672101232944799065e+00
