theta,phi,B
0.000000000000000000e+00,4.141988079593246774e-01,2.628851365924481875e+00
0.000000000000000000e+00,4.212191267382962567e-01,2.623480651974286815e+00
0.000000000000000000e+00,4.282394455172678915e-01,2.618254004184470851e+00
0.000000000000000000e+00,4.352597642962394708e-01,2.613194646643213659e+00
0.000000000000000000e+00,4.422800830752111056e-01,2.608325160090719574e+00
0.000000000000000000e+00,4.493004018541826849e-01,2.603666988508450242e+00
0.000000000000000000e+00,4.563207206331542642e-01,2.599239905844094700e+00
0.000000000000000000e+00,4.633410394121258991e-01,2.595061477273446826e+00
0.000000000000000000e+00,4.703613581910974784e-01,2.591146550504841439e+00
0.000000000000000000e+00,4.773816769700691132e-01,2.587506810939678381e+00
0.000000000000000000e+00,4.844019957490406925e-01,2.584150430151660682e+00
0.000000000000000000e+00,4.914223145280123273e-01,2.581081830497910623e+00
0.000000000000000000e+00,4.984426333069839066e-01,2.578301580314604990e+00
0.000000000000000000e+00,5.054629520859554859e-01,2.575806424863819277e+00
0.000000000000000000e+00,5.124832708649271762e-01,2.573589448898550902e+00
0.000000000000000000e+00,5.195035896438987555e-01,2.571640358330717469e+00
0.000000000000000000e+00,5.265239084228703348e-01,2.569945861848883517e+00
0.000000000000000000e+00,5.335442272018419141e-01,2.568490129036766767e+00
0.000000000000000000e+00,5.405645459808134934e-01,2.567255299867571949e+00
0.000000000000000000e+00,5.475848647597851837e-01,2.566222021303401490e+00
0.000000000000000000e+00,5.546051835387567630e-01,2.565369989674870954e+00
0.000000000000000000e+00,5.616255023177283423e-01,2.564678481843019053e+00
0.000000000000000000e+00,5.686458210966999216e-01,2.564126863001742862e+00
0.000000000000000000e+00,5.756661398756716119e-01,2.563695063521511663e+00
0.000000000000000000e+00,5.826864586546431912e-01,2.563364020783942543e+00
0.000000000000000000e+00,5.897067774336147705e-01,2.563116084107604387e+00
0.000000000000000000e+00,5.967270962125863498e-01,2.562935381548454128e+00
0.000000000000000000e+00,6.037474149915579291e-01,2.562808146825906519e+00
0.000000000000000000e+00,6.107677337705296194e-01,2.562723003373553965e+00
0.000000000000000000e+00,6.177880525495011987e-01,2.562671201150933165e+00
0.000000000000000000e+00,6.248083713284727780e-01,2.562646800956120963e+00
0.000000000000000000e+00,6.318286901074443573e-01,2.562646800956120963e+00
0.000000000000000000e+00,6.388490088864160477e-01,2.562671201150933165e+00
