theta,phi,B
3.951688872439991507e-02,9.477430351611665360e-01,2.590002868307351158e-01
3.951688872439991507e-02,9.652938321085955398e-01,2.590328846840552757e-01
3.951688872439991507e-02,9.828446290560246545e-01,2.590621361864253180e-01
3.951688872439991507e-02,1.000395426003453547e+00,2.590881280617138294e-01
3.951688872439991507e-02,1.017946222950882662e+00,2.591110232557409798e-01
3.951688872439991507e-02,1.035497019898311555e+00,2.591310380768196420e-01
3.951688872439991507e-02,1.053047816845740670e+00,2.591484196728614520e-01
3.951688872439991507e-02,1.070598613793169562e+00,2.591634252233678271e-01
3.951688872439991507e-02,1.088149410740598677e+00,2.591763039746453612e-01
3.951688872439991507e-02,1.105700207688027570e+00,2.591872829440010628e-01
3.951688872439991507e-02,1.123251004635456685e+00,2.591965567886646005e-01
3.951688872439991507e-02,1.140801801582885799e+00,2.592042820027422589e-01
3.951688872439991507e-02,1.158352598530314692e+00,2.592105752939353192e-01
3.951688872439991507e-02,1.175903395477743807e+00,2.592155157208106409e-01
3.951688872439991507e-02,1.193454192425172700e+00,2.592191499563482049e-01
3.951688872439991507e-02,1.211004989372601814e+00,2.592214998941471671e-01
3.951688872439991507e-02,1.228555786320030707e+00,2.592225717342231395e-01
3.951688872439991507e-02,1.246106583267459822e+00,2.592223656745089588e-01
3.951688872439991507e-02,1.263657380214888715e+00,2.592208853856860507e-01
3.951688872439991507e-02,1.281208177162317829e+00,2.592181465506301907e-01
3.951688872439991507e-02,1.298758974109746722e+00,2.592141838924074126e-01
3.951688872439991507e-02,1.316309771057175837e+00,2.592090562817817578e-01
3.951688872439991507e-02,1.333860568004604730e+00,2.592028496916445324e-01
3.951688872439991507e-02,1.351411364952033844e+00,2.591956779377193598e-01
3.951688872439991507e-02,1.368962161899462737e+00,2.591876813003608504e-01
3.951688872439991507e-02,1.386512958846891852e+00,2.591790232520456150e-01
3.951688872439991507e-02,1.404063755794320745e+00,2.591698856132614304e-01
3.951688872439991507e-02,1.421614552741749860e+00,2.591604625232877268e-01
3.951688872439991507e-02,1.439165349689178974e+00,2.591509536423546312e-01
3.951688872439991507e-02,1.456716146636607867e+00,2.591415570011315062e-01
3.951688872439991507e-02,1.474266943584036982e+00,2.591324618877149377e-01
3.951688872439991507e-02,1.491817740531465875e+00,2.591238421178861939e-01
3.951688872439991507e-02,1.509368537478894989e+00,2.591158499783907110e-01
3.951688872439991507e-02,1.526919334426323882e+00,2.591086110720799973e-01
3.951688872439991507e-02,1.544470131373752997e+00,2.591022202335871438e-01
3.951688872439991507e-02,1.562020928321181890e+00,2.590967386289644292e-01
3.951688872439991507e-02,1.579571725268611004e+00,2.590921921047747989e-01
3.951688872439991507e-02,1.597122522216039897e+00,2.590885708120237996e-01
3.951688872439991507e-02,1.614673319163469012e+00,2.590858300970600436e-01
3.951688872439991507e-02,1.632224116110897905e+00,2.590838926227770345e-01
3.951688872439991507e-02,1.649774913058327019e+00,2.590826516562410031e-01
3.951688872439991507e-02,1.667325710005755912e+00,2.590819754301234012e-01
3.951688872439991507e-02,1.684876506953185027e+00,2.590817124525886528e-01
3.951688872439991507e-02,1.702427303900614142e+00,2.590816976021285134e-01
3.951688872439991507e-02,1.719978100848043034e+00,2.590817588003930805e-01
3.951688872439991507e-02,1.737528897795472149e+00,2.590817240091395912e-01
3.951688872439991507e-02,1.755079694742901042e+00,2.590814282505742860e-01
3.951688872439991507e-02,1.772630491690330157e+00,2.590807203086630817e-01
3.951688872439991507e-02,1.790181288637759049e+00,2.590794687384186945e-01
3.951688872439991507e-02,1.807732085585188164e+00,2.590775667972728957e-01
