theta,phi,B
3.951688872439991507e-02,2.176298821481197354e-01,2.716421562414812918e+00
3.951688872439991507e-02,2.246502009270913425e-01,2.713687321585896317e+00
3.951688872439991507e-02,2.316705197060629495e-01,2.710975361760635582e+00
3.951688872439991507e-02,2.386908384850345566e-01,2.708716459743584881e+00
3.951688872439991507e-02,2.457111572640061636e-01,2.707268343227738239e+00
3.951688872439991507e-02,2.527314760429777429e-01,2.706878959314345412e+00
3.951688872439991507e-02,2.597517948219493777e-01,2.707664052119066245e+00
3.951688872439991507e-02,2.667721136009209570e-01,2.709600922580863713e+00
3.951688872439991507e-02,2.737924323798925919e-01,2.712538220538623257e+00
3.951688872439991507e-02,2.808127511588641712e-01,2.716219715848331440e+00
3.951688872439991507e-02,2.878330699378358060e-01,2.720318445069024982e+00
3.951688872439991507e-02,2.948533887168073853e-01,2.724476610266849175e+00
3.951688872439991507e-02,3.018737074957789646e-01,2.728346216929776968e+00
3.951688872439991507e-02,3.088940262747505994e-01,2.731625692093676339e+00
3.951688872439991507e-02,3.159143450537221787e-01,2.734088550159449404e+00
3.951688872439991507e-02,3.229346638326938135e-01,2.735601430176144877e+00
3.951688872439991507e-02,3.299549826116653928e-01,2.736130324033479333e+00
3.951688872439991507e-02,3.369753013906370276e-01,2.735735339686706347e+00
3.951688872439991507e-02,3.439956201696086069e-01,2.734555696811563408e+00
3.951688872439991507e-02,3.510159389485802417e-01,2.732787670607464747e+00
3.951688872439991507e-02,3.580362577275518210e-01,2.730658776519632180e+00
3.951688872439991507e-02,3.650565765065234558e-01,2.728401586544796142e+00
3.951688872439991507e-02,3.720768952854950351e-01,2.726230217863686800e+00
3.951688872439991507e-02,3.790972140644666144e-01,2.724321828163160042e+00
3.951688872439991507e-02,3.861175328434382492e-01,2.722804523122221543e+00
3.951688872439991507e-02,3.931378516224098285e-01,2.721752084022865503e+00
3.951688872439991507e-02,4.001581704013814633e-01,2.721185006868786616e+00
3.951688872439991507e-02,4.071784891803530426e-01,2.721076631866093720e+00
3.951688872439991507e-02,4.141988079593246774e-01,2.721362713593032723e+00
3.951688872439991507e-02,4.212191267382962567e-01,2.721952665449156150e+00
3.951688872439991507e-02,4.282394455172678915e-01,2.722740882398567930e+00
3.951688872439991507e-02,4.352597642962394708e-01,2.723616934667671075e+00
3.951688872439991507e-02,4.422800830752111056e-01,2.724473933473976484e+00
3.951688872439991507e-02,4.493004018541826849e-01,2.725214888884158526e+00
3.951688872439991507e-02,4.563207206331542642e-01,2.725757309210820267e+00
3.951688872439991507e-02,4.633410394121258991e-01,2.726036556566074243e+00
3.951688872439991507e-02,4.703613581910974784e-01,2.726008537658482389e+00
3.951688872439991507e-02,4.773816769700691132e-01,2.725652178540130421e+00
3.951688872439991507e-02,4.844019957490406925e-01,2.724971852320224652e+00
3.951688872439991507e-02,4.914223145280123273e-01,2.723999575186776489e+00
3.951688872439991507e-02,4.984426333069839066e-01,2.722796448543584713e+00
3.951688872439991507e-02,5.054629520859554859e-01,2.721452591151015010e+00
3.951688872439991507e-02,5.124832708649271762e-01,2.720084742831510027e+00
3.951688872439991507e-02,5.195035896438987555e-01,2.718830865711066469e+00
3.951688872439991507e-02,5.265239084228703348e-01,2.717841414946053913e+00
3.951688872439991507e-02,5.335442272018419141e-01,2.717267452601839217e+00
3.951688872439991507e-02,5.405645459808134934e-01,2.717246356240484495e+00
3.951688872439991507e-02,5.475848647597851837e-01,2.717886427588942055e+00
3.951688872439991507e-02,5.546051835387567630e-01,2.719252132487468110e+00
3.951688872439991507e-02,5.616255023177283423e-01,2.721351911742254881e+00
3.951688872439991507e-02,5.686458210966999216e-01,2.724130434812693569e+00
3.951688872439991507e-02,5.756661398756716119e-01,2.727466807952737327e+00
3.951688872439991507e-02,5.826864586546431912e-01,2.731179626001012828e+00
3.951688872439991507e-02,5.897067774336147705e-01,2.735038947122327979e+00
3.951688872439991507e-02,5.967270962125863498e-01,2.738784381042038252e+00
3.951688872439991507e-02,6.037474149915579291e-01,2.742147640241477280e+00
3.951688872439991507e-02,6.107677337705296194e-01,2.744877235402763738e+00
3.951688872439991507e-02,6.177880525495011987e-01,2.746762605394053480e+00
3.951688872439991507e-02,6.248083713284727780e-01,2.747654924953398137e+00
3.951688872439991507e-02,6.318286901074443573e-01,2.747482147920144335e+00
3.951688872439991507e-02,6.388490088864160477e-01,2.746256485904369882e+00
3.951688872439991507e-02,6.458693276653876270e-01,2.744073409132216756e+00
3.951688872439991507e-02,6.528896464443592063e-01,2.741102269047280160e+00
3.951688872439991507e-02,6.599099652233307856e-01,2.737569643461301272e+00
3.951688872439991507e-02,6.669302840023024759e-01,2.733737358582570387e+00
3.951688872439991507e-02,6.739506027812740552e-01,2.729877733787605454e+00
3.951688872439991507e-02,6.809709215602456345e-01,2.726248848728291652e+00
3.951688872439991507e-02,6.879912403392172138e-01,2.723072521782796240e+00
3.951688872439991507e-02,6.950115591181887931e-01,2.720517239962212397e+00
3.951688872439991507e-02,7.020318778971604834e-01,2.718687566800376487e+00
3.951688872439991507e-02,7.090521966761320627e-01,2.717620685649776657e+00
3.951688872439991507e-02,7.160725154551036420e-01,2.717289838575980276e+00
3.951688872439991507e-02,7.230928342340752213e-01,2.717613621550851288e+00
3.951688872439991507e-02,7.301131530130469116e-01,2.718469500181191822e+00
3.951688872439991507e-02,7.371334717920184909e-01,2.719709586167610382e+00
3.951688872439991507e-02,7.441537905709900702e-01,2.721176687328641819e+00
3.951688872439991507e-02,7.511741093499616495e-01,2.722718890694754368e+00
3.951688872439991507e-02,7.581944281289332288e-01,2.724201395115148028e+00
3.951688872439991507e-02,7.652147469079049191e-01,2.725514884454443898e+00
3.951688872439991507e-02,7.722350656868764984e-01,2.726580320037407024e+00
3.951688872439991507e-02,7.792553844658480777e-01,2.727350532739742484e+00
3.951688872439991507e-02,7.862757032448196570e-01,2.727809334782618667e+00
3.951688872439991507e-02,7.932960220237913473e-01,2.727969007444749128e+00
3.951688872439991507e-02,8.003163408027629266e-01,2.727866952877088025e+00
3.951688872439991507e-02,8.073366595817345059e-01,2.727562064698686672e+00
3.951688872439991507e-02,8.143569783607060852e-01,2.727131042817068973e+00
3.951688872439991507e-02,8.213772971396777756e-01,2.726664539896064277e+00
3.951688872439991507e-02,8.283976159186493549e-01,2.726262767292704670e+00
3.951688872439991507e-02,8.354179346976209342e-01,2.726030077521754524e+00
3.951688872439991507e-02,8.424382534765925135e-01,2.726068117858850837e+00
3.951688872439991507e-02,8.494585722555640928e-01,2.726467415388193594e+00
3.951688872439991507e-02,8.564788910345357831e-01,2.727297666196478954e+00
3.951688872439991507e-02,8.634992098135073624e-01,2.728597483747329022e+00
3.951688872439991507e-02,8.705195285924789417e-01,2.730364814340401125e+00
