theta,phi,B
0.000000000000000000e+00,3.018737074957789646e-01,2.667717565646249955e+00
0.000000000000000000e+00,3.088940262747505994e-01,2.662119521938267397e+00
0.000000000000000000e+00,3.159143450537221787e-01,2.656395966568779965e+00
0.000000000000000000e+00,3.229346638326938135e-01,2.650558896652304597e+00
0.000000000000000000e+00,3.299549826116653928e-01,2.644623208585567653e+00
0.000000000000000000e+00,3.369753013906370276e-01,2.638606487984418436e+00
0.000000000000000000e+00,3.439956201696086069e-01,2.632528717712799171e+00
0.000000000000000000e+00,3.510159389485802417e-01,2.626411888323581412e+00
0.000000000000000000e+00,3.580362577275518210e-01,2.620279508688865722e+00
0.000000000000000000e+00,3.650565765065234558e-01,2.614156031625804122e+00
0.000000000000000000e+00,3.720768952854950351e-01,2.608066226332822257e+00
0.000000000000000000e+00,3.790972140644666144e-01,2.602034542676747275e+00
0.000000000000000000e+00,3.861175328434382492e-01,2.596084518692347576e+00
0.000000000000000000e+00,3.931378516224098285e-01,2.590238280282696426e+00
0.000000000000000000e+00,4.001581704013814633e-01,2.584516171012416930e+00
0.000000000000000000e+00,4.071784891803530426e-01,2.578936531856550474e+00
0.000000000000000000e+00,4.141988079593246774e-01,2.573515629089162093e+00
0.000000000000000000e+00,4.212191267382962567e-01,2.568267707289962232e+00
0.000000000000000000e+00,4.282394455172678915e-01,2.563205127828580565e+00
0.000000000000000000e+00,4.352597642962394708e-01,2.558338544397739334e+00
0.000000000000000000e+00,4.422800830752111056e-01,2.553677067881515939e+00
0.000000000000000000e+00,4.493004018541826849e-01,2.549228382793769843e+00
0.000000000000000000e+00,4.563207206331542642e-01,2.544998794520627161e+00
0.000000000000000000e+00,4.633410394121258991e-01,2.540993206991648101e+00
0.000000000000000000e+00,4.703613581910974784e-01,2.537215049815284118e+00
0.000000000000000000e+00,4.773816769700691132e-01,2.533666188184930501e+00
0.000000000000000000e+00,4.844019957490406925e-01,2.530346854935985323e+00
0.000000000000000000e+00,4.914223145280123273e-01,2.527255640729503483e+00
0.000000000000000000e+00,4.984426333069839066e-01,2.524389566243199212e+00
0.000000000000000000e+00,5.054629520859554859e-01,2.521744242180461004e+00
0.000000000000000000e+00,5.124832708649271762e-01,2.519314102938503552e+00
0.000000000000000000e+00,5.195035896438987555e-01,2.517092682476764764e+00
